ip_request_rate,login_attempts,failed_logins,session_duration,pages_visited,request_size_kb,unique_endpoints,time_of_day,label
11.861663446573512,1,0,447.2365468325009,7,22.568721266252762,7,16,normal
14.318217867010148,1,1,111.43408621550624,3,1.5189324676422211,2,13,normal
25.14083658321223,2,1,133.64023130804736,1,15.559991026497118,6,18,normal
13.526405540621358,1,0,378.7561499917563,10,2.809950329073964,3,17,normal
15.912798713994736,1,0,520.1660318397028,7,8.94094412252093,7,7,normal
28.517680580346664,2,1,249.68740644775218,2,34.369534812351766,7,17,normal
15.360130393226836,3,0,548.3126291849057,4,9.520686345509086,4,7,normal
13.329520360246097,2,1,353.58918685739513,18,38.86907475637517,2,15,normal
26.949993162401817,2,0,555.4683139631766,8,28.73697673306727,9,19,normal
10.434579592134666,1,1,337.62451546177545,13,7.475749136250751,1,14,normal
29.619721161415,1,1,197.28825958928172,11,10.342699002395856,8,8,normal
23.915090675404965,3,0,557.9915007526089,9,45.79050393941715,9,13,normal
14.034069550007898,1,1,241.36640375301184,5,36.61550582773417,8,11,normal
26.72916953471347,1,0,98.16872018483197,14,42.52123430117115,5,15,normal
7.843562672719717,2,0,53.04714603690587,15,21.663280408748207,3,20,normal
26.977144274532062,1,1,351.0670760265387,4,45.42454045934161,7,12,normal
12.901104768033262,3,0,160.41495433022482,7,14.842696919231518,6,17,normal
27.96123191793462,1,1,391.0401412109414,6,23.098461238904058,4,19,normal
26.61512750864718,2,0,540.7720409563912,7,45.388007856514825,1,14,normal
19.783013495699507,1,1,230.96424811047635,3,0.8441304612939398,8,16,normal
13.10491909131459,1,0,98.3232593801992,12,12.584213351264822,6,21,normal
16.044928030557617,1,1,237.26887335619756,17,13.068812989750063,7,7,normal
21.655847107808817,1,0,598.7120764778969,17,48.84244031371632,6,12,normal
9.080747462861732,1,0,166.55027768017428,2,26.78126187419825,6,21,normal
18.188204992502413,3,0,240.70303995500055,17,36.54670925628705,8,10,normal
19.336869087213806,2,1,335.39156992261235,16,40.01808368673528,9,17,normal
15.737764525480841,1,0,366.80897761729784,4,1.3210975319288796,3,20,normal
7.5683774807402004,3,1,566.0982607590743,8,19.643399641876602,2,13,normal
4.988107380233805,1,0,149.1708238204968,10,13.268110571900202,9,9,normal
16.35986677232419,2,0,83.06857764936255,12,28.13552595355133,7,14,normal
9.087269225173275,3,1,512.5968510758344,1,32.28056648463725,1,13,normal
23.774878882304364,2,0,242.20117694019356,3,48.69635991938821,2,21,normal
9.85555194998741,2,1,285.60176150216097,9,9.208300007528596,4,6,normal
15.322917740319603,3,0,404.8393486111957,1,27.355741412467516,3,11,normal
8.690868662770038,2,1,584.6160162088939,13,24.59373657149303,8,16,normal
